x,y
794090.315618213,4975708.244223059
794090.315618213,5002408.244223059
820790.315618213,4762108.244223059
820790.315618213,4788808.244223059
820790.315618213,4815508.244223059
820790.315618213,4842208.244223059
820790.315618213,4868908.244223059
820790.315618213,4895608.244223059
820790.315618213,4922308.244223059
820790.315618213,4949008.244223059
820790.315618213,4975708.244223059
820790.315618213,5002408.244223059
847490.315618213,4762108.244223059
847490.315618213,4788808.244223059
847490.315618213,4815508.244223059
847490.315618213,4842208.244223059
847490.315618213,4868908.244223059
847490.315618213,4895608.244223059
847490.315618213,4922308.244223059
847490.315618213,4949008.244223059
847490.315618213,4975708.244223059
847490.315618213,5002408.244223059
847490.315618213,5029108.244223059
874190.315618213,4762108.244223059
874190.315618213,4788808.244223059
874190.315618213,4815508.244223059
874190.315618213,4842208.244223059
874190.315618213,4868908.244223059
874190.315618213,4895608.244223059
874190.315618213,4922308.244223059
874190.315618213,4949008.244223059
874190.315618213,4975708.244223059
874190.315618213,5002408.244223059
900890.315618213,4762108.244223059
900890.315618213,4788808.244223059
900890.315618213,4815508.244223059
900890.315618213,4842208.244223059
900890.315618213,4868908.244223059
900890.315618213,4895608.244223059
900890.315618213,4922308.244223059
900890.315618213,4949008.244223059
900890.315618213,4975708.244223059
900890.315618213,5002408.244223059
927590.315618213,4762108.244223059
927590.315618213,4788808.244223059
927590.315618213,4815508.244223059
927590.315618213,4842208.244223059
927590.315618213,4868908.244223059
927590.315618213,4895608.244223059
927590.315618213,4922308.244223059
927590.315618213,4949008.244223059
927590.315618213,4975708.244223059
927590.315618213,5002408.244223059
954290.315618213,4762108.244223059
954290.315618213,4788808.244223059
954290.315618213,4815508.244223059
954290.315618213,4842208.244223059
954290.315618213,4868908.244223059
954290.315618213,4895608.244223059
954290.315618213,4922308.244223059
954290.315618213,4949008.244223059
954290.315618213,4975708.244223059
954290.315618213,5002408.244223059
980990.315618213,4762108.244223059
980990.315618213,4788808.244223059
980990.315618213,4815508.244223059
980990.315618213,4842208.244223059
980990.315618213,4868908.244223059
980990.315618213,4895608.244223059
980990.315618213,4922308.244223059
980990.315618213,4949008.244223059
980990.315618213,4975708.244223059
980990.315618213,5002408.244223059
1007690.31561821,4762108.244223059
1007690.31561821,4788808.244223059
1007690.31561821,4815508.244223059
1007690.31561821,4842208.244223059
1007690.31561821,4868908.244223059
1007690.31561821,4895608.244223059
1007690.31561821,4922308.244223059
1007690.31561821,4949008.244223059
1007690.31561821,4975708.244223059
1007690.31561821,5002408.244223059
1034390.31561821,4762108.244223059
1034390.31561821,4788808.244223059
1034390.31561821,4815508.244223059
1034390.31561821,4842208.244223059
1034390.31561821,4868908.244223059
1034390.31561821,4895608.244223059
1034390.31561821,4922308.244223059
1034390.31561821,4949008.244223059
1034390.31561821,4975708.244223059
1034390.31561821,5002408.244223059
1061090.31561821,4762108.244223059
1061090.31561821,4788808.244223059
1061090.31561821,4815508.244223059
1061090.31561821,4842208.244223059
1061090.31561821,4868908.244223059
1061090.31561821,4895608.244223059
1061090.31561821,4922308.244223059
1061090.31561821,4949008.244223059
1061090.31561821,4975708.244223059
1061090.31561821,5002408.244223059
1087790.31561821,4762108.244223059
1087790.31561821,4788808.244223059
1087790.31561821,4815508.244223059
1087790.31561821,4842208.244223059
1087790.31561821,4868908.244223059
1087790.31561821,4895608.244223059
1087790.31561821,4922308.244223059
1087790.31561821,4949008.244223059
1087790.31561821,4975708.244223059
1087790.31561821,5002408.244223059
1114490.31561821,4762108.244223059
1114490.31561821,4788808.244223059
1114490.31561821,4815508.244223059
1114490.31561821,4842208.244223059
1114490.31561821,4868908.244223059
1114490.31561821,4895608.244223059
1114490.31561821,4922308.244223059
1114490.31561821,4949008.244223059
1114490.31561821,4975708.244223059
1114490.31561821,5002408.244223059
1141190.31561821,4762108.244223059
1141190.31561821,4788808.244223059
1141190.31561821,4815508.244223059
1141190.31561821,4842208.244223059
1141190.31561821,4868908.244223059
1141190.31561821,4895608.244223059
1141190.31561821,4922308.244223059
1141190.31561821,4949008.244223059
1141190.31561821,4975708.244223059
1141190.31561821,5002408.244223059
1167890.31561821,4762108.244223059
1167890.31561821,4788808.244223059
1167890.31561821,4815508.244223059
1167890.31561821,4842208.244223059
1167890.31561821,4868908.244223059
1167890.31561821,4895608.244223059
1167890.31561821,4922308.244223059
1167890.31561821,4949008.244223059
1167890.31561821,4975708.244223059
1167890.31561821,5002408.244223059
1194590.31561821,4762108.244223059
1194590.31561821,4788808.244223059
1194590.31561821,4815508.244223059
1194590.31561821,4842208.244223059
1194590.31561821,4868908.244223059
1194590.31561821,4895608.244223059
1194590.31561821,4922308.244223059
1194590.31561821,4949008.244223059
1194590.31561821,4975708.244223059
1194590.31561821,5002408.244223059
1221290.31561821,4788808.244223059
1221290.31561821,4815508.244223059
1221290.31561821,4842208.244223059
1221290.31561821,4868908.244223059
1221290.31561821,4895608.244223059
1221290.31561821,4922308.244223059
1221290.31561821,4949008.244223059
1221290.31561821,4975708.244223059
1221290.31561821,5002408.244223059
1247990.31561821,4735408.244223059
1247990.31561821,4762108.244223059
1247990.31561821,4788808.244223059
1247990.31561821,4815508.244223059
1247990.31561821,4842208.244223059
1247990.31561821,4868908.244223059
1247990.31561821,4895608.244223059
1247990.31561821,4922308.244223059
1247990.31561821,4949008.244223059
1247990.31561821,4975708.244223059
1274690.31561821,4708708.244223059
1274690.31561821,4735408.244223059
1274690.31561821,4762108.244223059
1274690.31561821,4788808.244223059
1274690.31561821,4815508.244223059
1274690.31561821,4842208.244223059
1274690.31561821,4868908.244223059
1274690.31561821,4895608.244223059
1274690.31561821,4922308.244223059
1301390.31561821,4682008.244223059
1301390.31561821,4708708.244223059
1301390.31561821,4735408.244223059
1301390.31561821,4762108.244223059
1301390.31561821,4788808.244223059
1301390.31561821,4815508.244223059
1301390.31561821,4842208.244223059
1301390.31561821,4868908.244223059
1301390.31561821,4895608.244223059
1301390.31561821,4922308.244223059
1328090.31561821,4735408.244223059
1328090.31561821,4762108.244223059
1328090.31561821,4788808.244223059
1328090.31561821,4815508.244223059
1328090.31561821,4842208.244223059
1328090.31561821,4868908.244223059
1328090.31561821,4895608.244223059
1354790.31561821,4815508.244223059
